time,consgrowth,cay,RREL,SPEX,tbill,r1,r2,r3,r4,r5,r6
1977.8,1.0057,0.00095478,0.98524,-0.03719,0.99689,1.0076,0.99364,0.98009,0.96453,0.95047,0.9178
1978,1.0083,0.0021602,0.98732,-0.0024365,0.9997,1.0569,1.0516,1.0654,0.98103,0.99249,1.011
1978.2,1.0089,0.0071044,0.98341,-0.047855,0.99682,1.0117,1.0412,1.0635,0.91389,0.96194,0.96733
1978.5,1.008,0.0052404,0.97919,0.080723,0.99359,1.1399,1.127,1.1112,1.092,1.0272,1.0501
1978.8,1.0039,0.00096537,0.98237,0.076838,0.99788,1.1144,1.1095,1.1214,1.059,1.0771,1.0592
1979,1.0042,0.00069884,0.98261,-0.084083,0.99917,0.84469,0.85611,0.84917,0.9343,0.92646,0.88969
1979.2,1.006,-0.0014041,0.98398,0.065823,1.0022,1.1435,1.121,1.1411,1.0322,1.0627,1.0922
1979.5,1.0005,0.0024277,0.97308,0.018585,0.99296,1.0168,1.0477,1.056,0.98364,1.0171,1.0202
1979.8,1.002,-0.00051619,0.97269,0.05989,0.99389,1.0896,1.0731,1.0646,1.0366,1.0529,1.0475
1980,1.0045,0.0030753,0.97826,-0.013898,1.0016,1.0603,0.97794,0.97013,0.99719,0.9763,0.94771
1980.2,0.99816,0.0041117,0.9729,-0.090287,0.99763,0.83985,0.85272,0.84658,0.89796,0.93929,0.91385
1980.5,0.98775,-0.0035585,0.97863,0.12611,1.0056,1.1758,1.1664,1.1633,1.1023,1.123,1.1276
1980.8,1.0017,-0.011697,0.9681,0.10734,0.99439,1.2597,1.1543,1.0978,1.1339,1.0749,1.0097
1981,1.0074,-0.0099853,0.97479,0.060466,1.001,1.0994,1.0217,1.0168,1.0825,1.0828,1.0042
1981.2,0.9969,-0.0053712,0.97831,-0.015793,1.0061,0.99977,1.0796,1.0982,0.97607,0.96467,1.053
1981.5,1.0039,-0.0019422,0.98716,-0.040706,1.0156,0.99812,1.0574,1.0517,0.93944,0.97798,1.0265
1981.8,0.99647,-0.0071869,0.98537,-0.15462,1.0177,0.77234,0.84361,0.87586,0.86917,0.8679,0.93588
1982,0.99947,-0.010014,0.98189,0.045374,1.0153,1.0695,1.091,1.0723,1.0721,1.0446,1.0438
1982.2,1.0005,-0.0070941,0.9833,-0.1147,1.0153,0.85091,0.91964,0.98711,0.87924,0.91237,0.98988
1982.5,1.0028,-0.0053389,0.98862,-0.040751,1.0202,0.98118,1.0061,1.0086,0.98593,0.99,0.97327
1982.8,1.0043,-0.0046311,0.97931,0.087169,1.0086,1.064,1.115,1.1058,1.1028,1.087,1.0931
1983,1.0115,0.0035857,0.97914,0.17508,1.0052,1.2704,1.2234,1.216,1.2047,1.1364,1.1427
1983.2,1.0077,0.0039414,0.98619,0.091444,1.0098,1.1622,1.1842,1.1796,1.0815,1.0939,1.1051
1983.5,1.009,0.0042214,0.9886,0.10965,1.0096,1.2175,1.1744,1.1435,1.0994,1.1191,1.0661
1983.8,1.0125,0.013688,0.98752,-0.034566,1.0072,0.88532,0.98144,1.0343,0.94523,0.98252,1.0334
1984,1.0065,0.011825,0.99286,-0.030733,1.0132,0.91628,0.9865,1.0144,0.97755,0.99818,0.99869
1984.2,1.0016,0.0029896,0.98757,-0.060424,1.0084,0.88227,0.94662,0.99705,0.90435,0.96532,1.0132
1984.5,1.0095,0.0054578,0.9902,-0.051111,1.0119,0.96129,0.96298,0.95601,0.9858,0.96098,0.97102
1984.8,1.008,0.0044746,0.99327,0.065787,1.0156,1.0331,1.0754,1.0723,1.0664,1.077,1.1138
